district,month,helmet_deaths,total_deaths
Ariyalur,January,3,17
Ariyalur,February,1,10
Ariyalur,March,1,20
Ariyalur,April,0,14
Ariyalur,May,1,24
Ariyalur,June,1,22
Chengalpattu,January,15,67
Chengalpattu,February,8,59
Chengalpattu,March,5,79
Chengalpattu,April,4,68
Chengalpattu,May,5,62
Chengalpattu,June,5,62
Chennai,January,5,36
Chennai,February,5,35
Chennai,March,6,43
Chennai,April,2,46
Chennai,May,2,41
Chennai,June,1,30
Coimbatore,January,13,75
Coimbatore,February,8,84
Coimbatore,March,3,92
Coimbatore,April,5,79
Coimbatore,May,10,76
Coimbatore,June,11,79
Cuddalore,January,7,52
Cuddalore,February,14,68
Cuddalore,March,1,31
Cuddalore,April,3,40
Cuddalore,May,3,37
Cuddalore,June,4,55
Dharmapuri,January,5,35
Dharmapuri,February,3,28
Dharmapuri,March,3,34
Dharmapuri,April,1,24
Dharmapuri,May,1,27
Dharmapuri,June,5,34
Dindigul,January,6,44
Dindigul,February,9,73
Dindigul,March,3,63
Dindigul,April,3,65
Dindigul,May,7,61
Dindigul,June,2,35
Erode,January,8,62
Erode,February,9,51
Erode,March,4,50
Erode,April,2,51
Erode,May,4,47
Erode,June,5,40
Kallakurichi,January,3,27
Kallakurichi,February,7,33
Kallakurichi,March,5,18
Kallakurichi,April,2,19
Kallakurichi,May,1,22
Kallakurichi,June,2,27
Kancheepuram,January,7,24
Kancheepuram,February,8,30
Kancheepuram,March,1,25
Kancheepuram,April,0,26
Kancheepuram,May,7,27
Kancheepuram,June,4,26
Kanyakumari,January,4,32
Kanyakumari,February,2,20
Kanyakumari,March,1,22
Kanyakumari,April,1,15
Kanyakumari,May,0,24
Kanyakumari,June,0,18
Karur,January,2,44
Karur,February,2,31
Karur,March,4,35
Karur,April,1,27
Karur,May,1,36
Karur,June,1,29
Krishnagiri,January,11,38
Krishnagiri,February,15,46
Krishnagiri,March,2,43
Krishnagiri,April,2,43
Krishnagiri,May,1,53
Krishnagiri,June,2,36
Madurai,January,10,61
Madurai,February,6,62
Madurai,March,4,71
Madurai,April,3,60
Madurai,May,4,88
Madurai,June,5,61
Mayiladuthurai,January,2,9
Mayiladuthurai,February,3,6
Mayiladuthurai,March,1,9
Mayiladuthurai,April,0,11
Mayiladuthurai,May,0,8
Mayiladuthurai,June,1,14
Nagapattinam,January,1,16
Nagapattinam,February,1,4
Nagapattinam,March,1,14
Nagapattinam,April,0,19
Nagapattinam,May,1,13
Nagapattinam,June,0,7
Namakkal,January,3,32
Namakkal,February,5,46
Namakkal,March,1,55
Namakkal,April,5,49
Namakkal,May,5,42
Namakkal,June,0,40
Perambalur,January,3,16
Perambalur,February,5,17
Perambalur,March,1,16
Perambalur,April,3,15
Perambalur,May,1,19
Perambalur,June,4,12
Pudukottai,January,6,30
Pudukottai,February,7,31
Pudukottai,March,6,32
Pudukottai,April,2,30
Pudukottai,May,0,31
Pudukottai,June,2,25
Ramanathapuram,January,5,26
Ramanathapuram,February,5,31
Ramanathapuram,March,0,21
Ramanathapuram,April,1,33
Ramanathapuram,May,0,23
Ramanathapuram,June,0,27
Ranipet,January,4,26
Ranipet,February,3,20
Ranipet,March,6,29
Ranipet,April,2,40
Ranipet,May,0,23
Ranipet,June,1,14
Salem,January,6,71
Salem,February,11,63
Salem,March,4,72
Salem,April,6,61
Salem,May,6,70
Salem,June,3,62
Sivagangai,January,5,23
Sivagangai,February,6,44
Sivagangai,March,0,38
Sivagangai,April,1,31
Sivagangai,May,0,45
Sivagangai,June,4,44
Tenkasi,January,2,14
Tenkasi,February,2,23
Tenkasi,March,0,10
Tenkasi,April,1,23
Tenkasi,May,0,26
Tenkasi,June,1,23
Thanjavur,January,8,46
Thanjavur,February,3,33
Thanjavur,March,4,53
Thanjavur,April,3,39
Thanjavur,May,5,57
Thanjavur,June,4,49
The Nilgiris,January,0,5
The Nilgiris,February,0,2
The Nilgiris,March,0,2
The Nilgiris,April,0,5
The Nilgiris,May,1,8
The Nilgiris,June,0,2
Theni,January,4,30
Theni,February,5,35
Theni,March,1,31
Theni,April,2,24
Theni,May,1,36
Theni,June,2,26
Thiruvallur,January,15,53
Thiruvallur,February,14,61
Thiruvallur,March,6,63
Thiruvallur,April,3,42
Thiruvallur,May,2,30
Thiruvallur,June,7,48
Tiruvannamalai,January,8,64
Tiruvannamalai,February,13,60
Tiruvannamalai,March,3,66
Tiruvannamalai,April,1,66
Tiruvannamalai,May,5,47
Tiruvannamalai,June,4,59
Thiruvarur,January,2,23
Thiruvarur,February,4,21
Thiruvarur,March,1,16
Thiruvarur,April,3,25
Thiruvarur,May,2,20
Thiruvarur,June,0,20
Thoothukudi,January,4,42
Thoothukudi,February,2,30
Thoothukudi,March,1,29
Thoothukudi,April,2,43
Thoothukudi,May,2,52
Thoothukudi,June,3,45
Tiruchirapalli,January,6,56
Tiruchirapalli,February,6,67
Tiruchirapalli,March,4,74
Tiruchirapalli,April,1,60
Tiruchirapalli,May,4,73
Tiruchirapalli,June,2,56
Tirunelveli,January,4,36
Tirunelveli,February,1,21
Tirunelveli,March,3,34
Tirunelveli,April,2,37
Tirunelveli,May,1,25
Tirunelveli,June,2,27
Tirupattur,January,4,22
Tirupattur,February,4,15
Tirupattur,March,2,22
Tirupattur,April,0,16
Tirupattur,May,1,16
Tirupattur,June,1,11
Tirupur,January,6,69
Tirupur,February,9,72
Tirupur,March,0,69
Tirupur,April,3,69
Tirupur,May,4,73
Tirupur,June,3,65
Vellore,January,4,28
Vellore,February,4,39
Vellore,March,5,42
Vellore,April,2,25
Vellore,May,1,29
Vellore,June,1,25
Villupuram,January,6,65
Villupuram,February,10,59
Villupuram,March,2,44
Villupuram,April,2,46
Villupuram,May,0,25
Villupuram,June,5,32
Virudhunagar,January,4,40
Virudhunagar,February,4,39
Virudhunagar,March,1,37
Virudhunagar,April,3,36
Virudhunagar,May,5,55
Virudhunagar,June,3,43
