district,hotspots_identified,hotspots_funded,fund_amount_lakhs
Ariyalur,81,28,95.2
Chengalpattu,128,44,292.48
Chennai City,175,0,0
Coimbatore,291,94,266.49
Cuddalore,145,53,174.43648
Dharmapuri,187,48,243.05
Dindigul,191,127,405.52881
Erode,216,72,397.03808
Kallakurichi,64,29,230
Kancheepuram,73,22,219.1
Kanniyakumari,97,35,327.16
Karur,211,67,149.96
Krishnagiri,88,6,14.05
Madurai,386,158,473.20082
Mayiladuthurai,90,42,173.94
Nagapattinam,89,42,197.54
Namakkal,155,90,318.07063
Perambalur,91,3,13.36
Pudukkottai,178,71,412.21
Ramanathapuram,85,41,261.9
Ranipet,47,31,177.34085
Salem,306,101,549.89557
Sivagangai,142,22,78.22
Tenkasi,98,36,72.62
Thanjavur,115,42,155.5
The Nilgiris,90,21,51.69
Theni,158,82,80.06893
Thiruvallur,248,88,1200
Thiruvarur,64,32,88.45
Thoothukudi,70,61,101.46
Tiruchirapalli,243,5,123.82
Tirunelveli,119,27,89.97
Tirupathur,48,17,28.61
Tiruppur,692,236,712.35
Tiruvannamalai,65,17,76
Vellore,99,28,64.53
Villupuram,270,80,195.195
Virudhunagar,270,95,526.35242
